target, id, NCounties, name, npop, nc, voteDiff, reportedMargin, dilutedMargin, estMvrs, haveMvrs, mvrsExtra, estRisk, 
false, 140, 02, City of Longmont Ballot Issue 3A, 578518, 55848, 26166, 46.85%, 04.52%, 160, 175, 15, 02.1%, 
false, 141, [Boulder], City of Louisville City Council Ward 1, 396121, 4259, 19, 00.45%, 00.00%, 151921, 120, -151801, 99.7%, 
false, 142, [Larimer], City of Loveland Ballot Issue 2E, 458224, 50141, 18020, 35.94%, 03.93%, 184, 121, -63, 09.9%, 
false, 143, [Larimer], City of Loveland Ballot Issue 2F, 458224, 50141, 14758, 29.43%, 03.22%, 225, 121, -104, 15.1%, 
false, 144, [Larimer], City of Loveland Ballot Issue 2G, 458224, 50141, 11730, 23.39%, 02.56%, 283, 121, -162, 22.3%, 
false, 145, [Larimer], City of Loveland Ballot Question 2H, 458224, 50141, 10253, 20.45%, 02.24%, 324, 121, -203, 27.0%, 
false, 146, [Larimer], City of Loveland Ballot Question 2I, 458224, 50141, 9006, 17.96%, 01.97%, 369, 121, -248, 31.7%, 
false, 147, [Larimer], City of Loveland Ballot Question 2J, 458224, 50141, 9123, 18.19%, 01.99%, 365, 121, -244, 31.2%, 
false, 148, [Montrose], City of Montrose Ballot Issue 2A, 26005, 12410, 242, 01.95%, 00.93%, 782, 32, -750, 86.6%, 
false, 149, [Pueblo], City of Pueblo Ballot Question 2A - Charter Amendment - Municipal Court Maximum Fines, 170790, 50574, 1199, 02.37%, 00.70%, 1037, 381, -656, 27.5%, 
false, 150, [Pueblo], City of Pueblo Ballot Question 2B - Charter Amendment - Modernize Terms & Technology, 170790, 50574, 182, 00.36%, 00.11%, 6837, 381, -6456, 82.2%, 
false, 151, [Pueblo], City of Pueblo Ballot Question 2C - Charter Amendment - Greater Election Coordination, 170790, 50574, 2015, 03.98%, 01.18%, 616, 381, -235, 11.4%, 
false, 152, [Pueblo], City of Pueblo Ballot Question 2D - Charter Amendment - Municipal Election Provisions, 170790, 50574, 5836, 11.54%, 03.42%, 212, 381, 169, 00.2%, 
false, 153, [Logan], City of Sterling Referred Ballot Issue 2T, 10274, 5038, 146, 02.90%, 01.42%, 511, 64, -447, 64.5%, 
false, 154, [Adams], City of Thornton Question 2A, 468858, 68870, 31386, 45.57%, 06.69%, 107, 214, 107, 00.1%, 
false, 155, [Huerfano], City of Walsenburg Ballot Question 300 - Walsenburg Trash Initiative, 4511, 1610, 518, 32.17%, 11.48%, 62, 53, -9, 04.9%, 
false, 156, 02, City of Westminster Ballot Issue 3C, 836637, 63867, 3581, 05.61%, 00.43%, 1701, 150, -1551, 73.4%, 
false, 157, 02, City of Westminster Ballot Question 3D, 836637, 63867, 4909, 07.69%, 00.59%, 1241, 150, -1091, 65.4%, 
false, 158, [Jefferson], City of Wheat Ridge Ballot Question 2B, 367779, 20148, 9870, 48.99%, 02.68%, 270, 66, -204, 42.4%, 
false, 159, [Jefferson], City of Wheat Ridge Ballot Question 2C, 367779, 20148, 6198, 30.76%, 01.69%, 431, 66, -365, 58.4%, 
false, 160, [Teller], City of Woodland Park Ballot Question 2A, 17112, 5285, 778, 14.72%, 04.55%, 159, 74, -85, 19.4%, 
false, 161, [Yuma], City of Yuma Ballot Issue 2A - Levying a Lodging Tax in the City of Yuma, 4719, 1261, 51, 04.04%, 01.08%, 673, 18, -655, 91.0%, 
false, 162, [Clear Creek], Clear Creek County Commissioner - District 2, 6180, 6180, 663, 10.73%, 10.73%, 67, 72, 5, 02.2%, 
true, 163, [Clear Creek], Clear Creek County Commissioner - District 3, 6180, 6180, 641, 10.37%, 10.37%, 69, 72, 3, 02.5%, 
false, 164, [Clear Creek], Clear Creek County Court - Jones, 6180, 6180, 2146, 34.72%, 34.72%, 20, 72, 52, 00.0%, 
false, 166, 63, Colorado Court of Appeals Judge - Dunn, 4767518, 3239722, 907565, 28.01%, 19.04%, 37, 707, 670, 00.0%, 
false, 167, 63, Colorado Court of Appeals Judge - Jones, 4767518, 3239722, 503905, 15.55%, 10.57%, 68, 707, 639, 00.0%, 
false, 168, 63, Colorado Court of Appeals Judge - Kuhn, 4767518, 3239722, 826629, 25.52%, 17.34%, 41, 707, 666, 00.0%, 
false, 169, 63, Colorado Court of Appeals Judge - Roman, 4767518, 3239722, 836501, 25.82%, 17.55%, 40, 707, 667, 00.0%, 
false, 170, 63, Colorado Court of Appeals Judge - Schutz, 4767518, 3239722, 712233, 21.98%, 14.94%, 47, 707, 660, 00.0%, 
false, 171, 63, Colorado Supreme Court Justice - Berkenkotter, 4767518, 3239722, 847284, 26.15%, 17.77%, 40, 707, 667, 00.0%, 
false, 172, 63, Colorado Supreme Court Justice - Boatright, 4767518, 3239722, 640976, 19.78%, 13.44%, 53, 707, 654, 00.0%, 
false, 173, 63, Colorado Supreme Court Justice - Marquez, 4767518, 3239722, 708027, 21.85%, 14.85%, 48, 707, 659, 00.0%, 
false, 174, [Conejos], Conejos County Commissioner District 1, 4196, 4196, 663, 15.80%, 15.80%, 45, 75, 30, 00.3%, 
true, 175, [Conejos], Conejos County Commissioner District 3, 4196, 4196, 418, 09.96%, 09.96%, 72, 75, 3, 02.5%, 
false, 176, [Conejos], Conejos County Court - Kelly, 4196, 4196, 1821, 43.40%, 43.40%, 15, 75, 60, 00.0%, 
false, 177, [Montezuma], Cortez Fire Protection District Ballot Issue 6-A, 15436, 7815, 654, 08.37%, 04.24%, 171, 56, -115, 31.5%, 
false, 178, [Costilla], Costilla County Commissioner District 1, 2149, 2149, 479, 22.29%, 22.29%, 31, 47, 16, 00.5%, 
true, 179, [Costilla], Costilla County Commissioner District 3, 2149, 2149, 340, 15.82%, 15.82%, 45, 47, 2, 02.4%, 
false, 180, [Douglas], Councilmember, 248173, 36454, 961, 02.64%, 00.39%, 1880, 62, -1818, 89.1%, 
true, 181, [Garfield], County Commissioner - District 2, 30750, 30750, 1943, 06.32%, 06.32%, 114, 117, 3, 02.7%, 
false, 182, [Garfield], County Commissioner - District 3, 30750, 30750, 772, 02.51%, 02.51%, 289, 117, -172, 24.1%, 
true, 183, [Cheyenne], County Court Judge - Cheyenne, 1064, 1064, 430, 40.41%, 40.41%, 17, 20, 3, 01.3%, 
